Network,Nodes,Edges,Density,Avg Degree,Avg Clustering,Components,Largest Component,Avg Shortest Path
Healthy,619,876,0.00458,2.8304,0.303883,388,51,
Disease,619,1215,0.006352,3.9257,0.307501,377,66,
